Stat_ID,Meter,Date,Grav,TC_Grav,Tide,Lat,Long,Long_Level,Cross_Level,Temp,Volts,Counter,Height,loop
RGON,D37,11/28/2024T20:14:21, -69.305,-69.236,-0.069,-38.256585,176.232278,-6027,18190,49.2,11.6,0.000,0.000,7
RGON,D37,11/28/2024T20:14:22, -69.305,-69.236,-0.069,-38.256585,176.232278,-6024,18194,49.2,11.6,0.000,0.000,7
RGON,D37,11/28/2024T20:14:23, -69.306,-69.237,-0.069,-38.256585,176.232277,-6020,18189,49.2,11.6,0.000,0.000,7
RGON,D37,11/28/2024T20:14:23, -69.306,-69.237,-0.069,-38.256585,176.232277,-6030,18193,49.2,11.6,0.000,0.000,7
RGON,D37,11/28/2024T20:14:25, -69.306,-69.237,-0.069,-38.256585,176.232275,-6013,18195,49.2,11.6,0.000,0.000,7
RGON,D37,11/28/2024T20:14:26, -69.307,-69.238,-0.069,-38.256585,176.232273,-6020,18193,49.2,11.6,0.000,0.000,7
RGON,D37,11/28/2024T20:14:27, -69.309,-69.240,-0.069,-38.256585,176.232273,-6016,18194,49.2,11.6,0.000,0.000,7
3061-0,D37,11/28/2024T20:58:29, -40.485,-40.386,-0.099,-38.305467,176.248258,-6072,18080,49.2,11.5,0.000,0.000,7
3061-1,D37,11/28/2024T20:58:31, -40.485,-40.386,-0.099,-38.305463,176.248262,-6071,18083,49.2,11.3,0.000,0.000,7
3061-2,D37,11/28/2024T20:58:32, -40.485,-40.386,-0.099,-38.305463,176.248262,-6069,18082,49.2,11.3,0.000,0.000,7
3061-3,D37,11/28/2024T20:58:33, -40.485,-40.386,-0.099,-38.305462,176.248263,-6071,18084,49.2,11.3,0.000,0.000,7
3061-4,D37,11/28/2024T20:58:34, -40.485,-40.386,-0.099,-38.305458,176.248267,-6072,18093,49.2,11.4,0.000,0.000,7
3061-5,D37,11/28/2024T20:58:35, -40.485,-40.386,-0.099,-38.305457,176.248268,-6068,18087,49.2,11.5,0.000,0.000,7
3061-6,D37,11/28/2024T20:58:36, -40.484,-40.385,-0.099,-38.305453,176.248270,-6072,18088,49.2,11.5,0.000,0.000,7
3061-7,D37,11/28/2024T20:58:37, -40.484,-40.385,-0.099,-38.305452,176.248272,-6070,18085,49.2,11.5,0.000,0.000,7
3061,D37,11/28/2024T20:58:38, -40.483,-40.384,-0.099,-38.305448,176.248275,-6070,18088,49.2,11.5,0.000,0.000,7
3061,D37,11/28/2024T20:58:39, -40.482,-40.383,-0.099,-38.305447,176.248277,-6071,18083,49.2,11.5,0.000,0.000,7
3061,D37,11/28/2024T20:58:40, -40.482,-40.383,-0.099,-38.305445,176.248280,-6070,18087,49.2,11.5,0.000,0.000,7
3061,D37,11/28/2024T20:58:40, -40.481,-40.382,-0.099,-38.305445,176.248280,-6073,18084,49.2,11.5,0.000,0.000,7
3061,D37,11/28/2024T20:58:42, -40.480,-40.381,-0.099,-38.305440,176.248285,-6071,18085,49.2,11.5,0.000,0.000,7
3061,D37,11/28/2024T20:58:43, -40.480,-40.381,-0.099,-38.305438,176.248288,-6072,18083,49.2,11.5,0.000,0.000,7
3061,D37,11/28/2024T20:58:44, -40.479,-40.380,-0.099,-38.305437,176.248288,-6072,18086,49.2,11.5,0.000,0.000,7
RGHL,D37,11/28/2024T21:47:38, -84.590,-84.466,-0.124,-38.251943,176.352307,-6102,18144,49.2,11.4,0.000,0.000,7
RGHL,D37,11/28/2024T21:47:40, -84.596,-84.472,-0.124,-38.251943,176.352307,-6103,18140,49.2,11.4,0.000,0.000,7
RGHL,D37,11/28/2024T21:47:41, -84.596,-84.472,-0.124,-38.251937,176.352310,-6101,18146,49.2,11.4,0.000,0.000,7
RGHL,D37,11/28/2024T21:47:42, -84.598,-84.474,-0.124,-38.251937,176.352312,-6103,18148,49.2,11.4,0.000,0.000,7
RGHL,D37,11/28/2024T21:47:43, -84.602,-84.478,-0.124,-38.251937,176.352313,-6105,18153,49.2,11.4,0.000,0.000,7
RGHL,D37,11/28/2024T21:47:44, -84.603,-84.479,-0.124,-38.251937,176.352315,-6105,18157,49.2,11.2,0.000,0.000,7
RGHL,D37,11/28/2024T21:47:45, -84.604,-84.480,-0.124,-38.251935,176.352313,-6103,18161,49.2,11.2,0.000,0.000,7
RGHL,D37,11/28/2024T21:47:46, -84.605,-84.481,-0.124,-38.251935,176.352315,-6108,18161,49.2,11.2,0.000,0.000,7
RGHL,D37,11/28/2024T21:47:47, -84.605,-84.481,-0.124,-38.251935,176.352317,-6103,18159,49.2,11.4,0.000,0.000,7
RGHL,D37,11/28/2024T21:47:48, -84.605,-84.481,-0.124,-38.251938,176.352310,-6108,18154,49.2,11.4,0.000,0.000,7
RGHL,D37,11/28/2024T21:47:49, -84.604,-84.480,-0.124,-38.251940,176.352307,-6105,18156,49.2,11.4,0.000,0.000,7
RGHL,D37,11/28/2024T21:47:50, -84.604,-84.480,-0.124,-38.251942,176.352308,-6108,18152,49.2,11.4,0.000,0.000,7
RGHL,D37,11/28/2024T21:47:51, -84.603,-84.479,-0.124,-38.251940,176.352312,-6101,18165,49.1,11.4,0.000,0.000,7
RGHL,D37,11/28/2024T21:47:52, -84.601,-84.477,-0.124,-38.251938,176.352313,-6105,18163,49.1,11.4,0.000,0.000,7
RGHL,D37,11/28/2024T21:47:53, -84.600,-84.476,-0.124,-38.251938,176.352315,-6102,18165,49.2,11.4,0.000,0.000,7
RGHL,D37,11/28/2024T21:47:54, -84.598,-84.474,-0.124,-38.251940,176.352313,-6104,18156,49.2,11.4,0.000,0.000,7
RGHL,D37,11/28/2024T21:47:55, -84.598,-84.474,-0.124,-38.251942,176.352307,-6102,18163,49.2,11.4,0.000,0.000,7
RGHL,D37,11/28/2024T21:47:56, -84.598,-84.474,-0.124,-38.251947,176.352300,-6109,18171,49.2,11.4,0.000,0.000,7
RGHL,D37,11/28/2024T21:47:57, -84.597,-84.473,-0.124,-38.251947,176.352298,-6102,18166,49.2,11.4,0.000,0.000,7
home,D37,11/28/2024T22:39:26,  -7.735,-7.598,-0.137,-38.141957,176.294350,-6086,18058,49.2,11.3,0.000,0.000,7
home,D37,11/28/2024T22:39:28,  -7.733,-7.596,-0.137,-38.141947,176.294390,-6094,18070,49.2,11.3,0.000,0.000,7
home,D37,11/28/2024T22:39:29,  -7.733,-7.596,-0.137,-38.141945,176.294415,-6093,18076,49.2,11.3,0.000,0.000,7
home,D37,11/28/2024T22:39:30,  -7.733,-7.596,-0.137,-38.141945,176.294445,-6074,18060,49.2,11.3,0.000,0.000,7
home,D37,11/28/2024T22:39:31,  -7.731,-7.594,-0.137,-38.141942,176.294505,-6110,18064,49.2,11.3,0.000,0.000,7
home,D37,11/28/2024T22:39:32,  -7.731,-7.594,-0.137,-38.141932,176.294537,-6109,18093,49.2,11.3,0.000,0.000,7
home,D37,11/28/2024T22:39:33,  -7.730,-7.593,-0.137,-38.141923,176.294530,-6099,18087,49.2,11.3,0.000,0.000,7
home,D37,11/28/2024T22:39:34,  -7.728,-7.591,-0.137,-38.141920,176.294540,-6102,18081,49.2,11.3,0.000,0.000,7
home,D37,11/28/2024T22:39:35,  -7.727,-7.590,-0.137,-38.141913,176.294553,-6101,18091,49.2,11.3,0.000,0.000,7
home,D37,11/28/2024T22:39:36,  -7.726,-7.589,-0.137,-38.141913,176.294528,-6089,18080,49.2,11.1,0.000,0.000,7
home,D37,11/28/2024T22:39:37,  -7.724,-7.587,-0.137,-38.141918,176.294498,-6093,18083,49.2,11.3,0.000,0.000,7
home,D37,11/28/2024T22:39:38,  -7.722,-7.585,-0.137,-38.141922,176.294470,-6100,18087,49.2,11.3,0.000,0.000,7
home,D37,11/28/2024T22:39:39,  -7.720,-7.583,-0.137,-38.141923,176.294458,-6095,18087,49.2,11.3,0.000,0.000,7
home,D37,11/28/2024T22:39:40,  -7.715,-7.578,-0.137,-38.141928,176.294435,-6100,18098,49.2,11.3,0.000,0.000,7
home,D37,11/28/2024T22:39:41,  -7.712,-7.575,-0.137,-38.141927,176.294433,-6101,18085,49.2,11.3,0.000,0.000,7
home,D37,11/28/2024T22:39:42,  -7.712,-7.575,-0.137,-38.141933,176.294422,-6102,18081,49.2,11.3,0.000,0.000,7
home,D37,11/28/2024T22:39:43,  -7.705,-7.568,-0.137,-38.141933,176.294407,-6100,18097,49.2,11.3,0.000,0.000,7
